BAM,HEADER,phase,duty,pos_counts,vel_rad_s  (V_BUS=12.0V COUNTS_PER_REV=1976 dt=10ms)
BAM,10,stair,60,0,0.000
BAM,20,stair,60,0,0.000
BAM,30,stair,60,0,0.000
BAM,40,stair,60,0,0.000
BAM,50,stair,60,0,0.000
BAM,60,stair,60,0,0.000
BAM,70,stair,60,0,0.000
BAM,80,stair,60,0,0.000
BAM,90,stair,60,0,0.000
BAM,100,stair,60,0,0.000
BAM,110,stair,60,0,0.000
BAM,120,stair,60,0,0.000
BAM,130,stair,60,0,0.000
BAM,140,stair,60,0,0.000
BAM,150,stair,60,0,0.000
BAM,160,stair,60,0,0.000
BAM,170,stair,60,0,0.000
BAM,180,stair,60,0,0.000
BAM,190,stair,60,0,0.000
BAM,200,stair,60,0,0.000
BAM,210,stair,60,0,0.000
BAM,220,stair,60,0,0.000
BAM,230,stair,60,0,0.000
BAM,240,stair,60,0,0.000
BAM,250,stair,60,0,0.000
BAM,260,stair,60,0,0.000
BAM,270,stair,60,0,0.000
BAM,280,stair,60,0,0.000
BAM,290,stair,60,0,0.000
BAM,300,stair,60,0,0.000
BAM,310,stair,60,0,0.000
BAM,320,stair,60,0,0.000
BAM,330,stair,60,0,0.000
BAM,340,stair,60,0,0.000
BAM,350,stair,60,0,0.000
BAM,360,stair,60,0,0.000
BAM,370,stair,60,0,0.000
BAM,380,stair,60,0,0.000
BAM,390,stair,60,0,0.000
BAM,400,stair,60,0,0.000
BAM,410,stair,60,0,0.000
BAM,420,stair,60,0,0.000
BAM,430,stair,60,0,0.000
BAM,440,stair,60,0,0.000
BAM,450,stair,60,0,0.000
BAM,460,stair,60,0,0.000
BAM,470,stair,60,0,0.000
BAM,480,stair,60,0,0.000
BAM,490,stair,60,0,0.000
BAM,500,stair,60,0,0.000
BAM,510,stair,60,0,0.000
BAM,520,stair,60,0,0.000
BAM,530,stair,60,0,0.000
BAM,540,stair,60,0,0.000
BAM,550,stair,60,0,0.000
BAM,560,stair,60,0,0.000
BAM,570,stair,60,0,0.000
BAM,580,stair,60,0,0.000
BAM,590,stair,60,0,0.000
BAM,600,stair,60,0,0.000
BAM,610,stair,60,0,0.000
BAM,620,stair,60,0,0.000
BAM,630,stair,60,0,0.000
BAM,640,stair,60,0,0.000
BAM,650,stair,60,0,0.000
BAM,660,stair,60,0,0.000
BAM,670,stair,60,0,0.000
BAM,680,stair,60,0,0.000
BAM,690,stair,60,0,0.000
BAM,700,stair,60,0,0.000
BAM,710,stair,60,0,0.000
BAM,720,stair,60,0,0.000
BAM,730,stair,60,0,0.000
BAM,740,stair,60,0,0.000
BAM,750,stair,60,0,0.000
BAM,760,stair,60,0,0.000
BAM,770,stair,60,0,0.000
BAM,780,stair,60,0,0.000
BAM,790,stair,60,0,0.000
BAM,800,stair,60,0,0.000
BAM,810,stair,60,0,0.000
BAM,820,stair,60,0,0.000
BAM,830,stair,60,0,0.000
BAM,840,stair,60,0,0.000
BAM,850,stair,60,0,0.000
BAM,860,stair,60,0,0.000
BAM,870,stair,60,0,0.000
BAM,880,stair,60,0,0.000
BAM,890,stair,60,0,0.000
BAM,900,stair,60,0,0.000
BAM,910,stair,60,0,0.000
BAM,920,stair,60,0,0.000
BAM,930,stair,60,0,0.000
BAM,940,stair,60,0,0.000
BAM,950,stair,60,0,0.000
BAM,960,stair,60,0,0.000
BAM,970,stair,60,0,0.000
BAM,980,stair,60,0,0.000
BAM,990,stair,60,0,0.000
BAM,1000,stair,60,0,0.000
BAM,1010,stair,60,0,0.000
BAM,1020,stair,60,0,0.000
BAM,1030,stair,60,0,0.000
BAM,1040,stair,60,0,0.000
BAM,1050,stair,60,0,0.000
BAM,1060,stair,60,0,0.000
BAM,1070,stair,60,0,0.000
BAM,1080,stair,60,0,0.000
BAM,1090,stair,60,0,0.000
BAM,1100,stair,60,0,0.000
BAM,1110,stair,60,0,0.000
BAM,1120,stair,60,0,0.000
BAM,1130,stair,60,0,0.000
BAM,1140,stair,60,0,0.000
BAM,1150,stair,60,0,0.000
BAM,1160,stair,60,0,0.000
BAM,1170,stair,60,0,0.000
BAM,1180,stair,60,0,0.000
BAM,1190,stair,60,0,0.000
BAM,1200,stair,60,0,0.000
BAM,1210,stair,60,0,0.000
